algorithm,n,time(ns)
insertion-sort,80,4270
hybrid-sort,80,3920
merge-sort,81,3950
insertion-sort,81,4330
hybrid-sort,81,3870
merge-sort,82,4150
insertion-sort,82,4031
hybrid-sort,82,4030
merge-sort,83,4070
insertion-sort,83,3910
hybrid-sort,83,4190
merge-sort,84,4230
insertion-sort,84,4410
hybrid-sort,84,4100
merge-sort,85,5180
insertion-sort,85,4260
hybrid-sort,85,4190
merge-sort,86,4290
insertion-sort,86,4360
hybrid-sort,86,4280
merge-sort,87,4310
insertion-sort,87,4160
hybrid-sort,87,4260
merge-sort,88,4100
insertion-sort,88,4460
hybrid-sort,88,4201
merge-sort,89,4301
insertion-sort,89,5500
hybrid-sort,89,4130
merge-sort,90,5350
insertion-sort,90,4650
hybrid-sort,90,4300
merge-sort,91,4410
insertion-sort,91,4590
hybrid-sort,91,4730
merge-sort,92,4490
insertion-sort,92,5010
hybrid-sort,92,4500
merge-sort,93,4270
insertion-sort,93,4850
hybrid-sort,93,4420
merge-sort,94,4420
insertion-sort,94,5490
hybrid-sort,94,4501
merge-sort,95,4530
insertion-sort,95,4840
hybrid-sort,95,4450
merge-sort,96,4450
insertion-sort,96,5100
hybrid-sort,96,4660
merge-sort,97,4730
insertion-sort,97,5730
hybrid-sort,97,4550
merge-sort,98,4640
insertion-sort,98,5620
hybrid-sort,98,4450
merge-sort,99,4790
insertion-sort,99,5960
hybrid-sort,99,4590
merge-sort,100,4610
insertion-sort,100,5210
hybrid-sort,100,4790
merge-sort,101,4810
insertion-sort,101,5610
hybrid-sort,101,4670
merge-sort,102,4790
insertion-sort,102,5490
hybrid-sort,102,4710
merge-sort,103,4710
insertion-sort,103,5810
hybrid-sort,103,4650
merge-sort,104,4961
insertion-sort,104,6130
hybrid-sort,104,4750
merge-sort,105,5720
insertion-sort,105,5960
hybrid-sort,105,5080
merge-sort,106,4960
insertion-sort,106,6290
hybrid-sort,106,4870
merge-sort,107,5140
insertion-sort,107,6470
hybrid-sort,107,5080
merge-sort,108,5000
insertion-sort,108,5971
hybrid-sort,108,5040
merge-sort,109,4820
insertion-sort,109,6930
hybrid-sort,109,5050
merge-sort,110,5061
insertion-sort,110,6290
hybrid-sort,110,5270
merge-sort,111,5170
insertion-sort,111,6670
hybrid-sort,111,5090
merge-sort,112,5210
insertion-sort,112,6780
hybrid-sort,112,5120
merge-sort,113,5100
insertion-sort,113,7030
hybrid-sort,113,5220
merge-sort,114,5150
insertion-sort,114,6920
hybrid-sort,114,5280
merge-sort,115,5190
insertion-sort,115,6400
hybrid-sort,115,5300
merge-sort,116,6550
insertion-sort,116,7560
hybrid-sort,116,5130
merge-sort,117,5490
insertion-sort,117,7411
hybrid-sort,117,5540
merge-sort,118,5411
insertion-sort,118,7030
hybrid-sort,118,5670
merge-sort,119,5530
insertion-sort,119,6940
hybrid-sort,119,5400
merge-sort,120,5280
insertion-sort,120,8200
hybrid-sort,120,5470
merge-sort,121,5540
insertion-sort,121,7850
hybrid-sort,121,5360
merge-sort,122,5640
insertion-sort,122,7101
hybrid-sort,122,5350
merge-sort,123,5400
insertion-sort,123,7440
hybrid-sort,123,5690
merge-sort,124,5500
insertion-sort,124,8090
hybrid-sort,124,5620
merge-sort,125,5620
insertion-sort,125,7960
hybrid-sort,125,5520
merge-sort,126,5430
insertion-sort,126,7980
hybrid-sort,126,5820
merge-sort,127,5560
insertion-sort,127,8190
hybrid-sort,127,5800
merge-sort,128,5780
insertion-sort,128,8480
hybrid-sort,128,5690
merge-sort,129,5910
insertion-sort,129,9480
hybrid-sort,129,6070
merge-sort,130,5990
insertion-sort,130,9040
hybrid-sort,130,5860
merge-sort,131,5850
insertion-sort,131,9080
hybrid-sort,131,5940
merge-sort,132,6641
insertion-sort,132,8420
hybrid-sort,132,6110
merge-sort,133,6280
insertion-sort,133,8610
hybrid-sort,133,6181
merge-sort,134,6450
insertion-sort,134,9100
hybrid-sort,134,6280
merge-sort,135,6290
insertion-sort,135,8660
hybrid-sort,135,6180
merge-sort,136,6350
insertion-sort,136,9320
hybrid-sort,136,6190
merge-sort,137,6410
insertion-sort,137,9830
hybrid-sort,137,6491
merge-sort,138,6360
insertion-sort,138,9761
hybrid-sort,138,6450
merge-sort,139,6440
insertion-sort,139,9020
hybrid-sort,139,6500
merge-sort,140,6600
insertion-sort,140,9300
hybrid-sort,140,6550
merge-sort,141,6610
insertion-sort,141,12420
hybrid-sort,141,6671
merge-sort,142,6410
insertion-sort,142,9520
hybrid-sort,142,6520
merge-sort,143,8120
insertion-sort,143,10901
hybrid-sort,143,6530
merge-sort,144,6600
insertion-sort,144,9870
